,_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
132,5db4e520f9af8b470bd883cd,0039,2019-10-10 11:03:55-07:00,2019-10-10 17:15:31-07:00,2019-10-10 13:11:32-07:00,13.058,2_39_88_438_2019-10-10 18:03:54.533026,0002,CA-502,2-39-88-438,America/Los_Angeles,000000069,"[{'WhPerMile': 400, 'kWhRequested': 40.0, 'milesRequested': 100, 'minutesAvailable': 383, 'modifiedAt': 'Thu, 10 Oct 2019 18:04:11 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 00:26:55 GMT', 'userID': 69}]"
133,5db4e520f9af8b470bd883ce,0039,2019-10-10 11:28:15-07:00,2019-10-10 18:53:29-07:00,2019-10-10 13:30:24-07:00,13.264,2_39_79_377_2019-10-10 18:28:15.041269,0002,CA-325,2-39-79-377,America/Los_Angeles,000001274,"[{'WhPerMile': 400, 'kWhRequested': 20.0, 'milesRequested': 50, 'minutesAvailable': 235, 'modifiedAt': 'Thu, 10 Oct 2019 18:30:14 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 10 Oct 2019 22:23:15 GMT', 'userID': 1274}]"
134,5db4e520f9af8b470bd883cf,0039,2019-10-10 12:25:26-07:00,2019-10-10 16:30:28-07:00,2019-10-10 14:49:08-07:00,11.114,2_39_78_364_2019-10-10 19:25:25.747745,0002,CA-495,2-39-78-364,America/Los_Angeles,000002461,"[{'WhPerMile': 400, 'kWhRequested': 12.0, 'milesRequested': 30, 'minutesAvailable': 377, 'modifiedAt': 'Thu, 10 Oct 2019 19:25:28 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 01:42:26 GMT', 'userID': 2461}]"
135,5db4e520f9af8b470bd883d0,0039,2019-10-10 12:28:02-07:00,2019-10-10 17:11:22-07:00,2019-10-10 14:26:07-07:00,6.427,2_39_92_436_2019-10-10 19:28:02.180466,0002,CA-318,2-39-92-436,America/Los_Angeles,000001124,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 60, 'modifiedAt': 'Thu, 10 Oct 2019 19:28:58 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 10 Oct 2019 20:28:02 GMT', 'userID': 1124}]"
136,5db4e520f9af8b470bd883d1,0039,2019-10-10 13:14:25-07:00,2019-10-10 16:34:25-07:00,2019-10-10 16:14:50-07:00,13.425,2_39_91_441_2019-10-10 20:14:25.042021,0002,CA-499,2-39-91-441,America/Los_Angeles,000000620,"[{'WhPerMile': 500, 'kWhRequested': 15.0, 'milesRequested': 30, 'minutesAvailable': 187, 'modifiedAt': 'Thu, 10 Oct 2019 20:14:53 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 10 Oct 2019 23:21:25 GMT', 'userID': 620}]"
137,5db4e520f9af8b470bd883d2,0039,2019-10-10 13:50:29-07:00,2019-10-10 15:17:11-07:00,2019-10-10 15:17:09-07:00,8.38,2_39_78_365_2019-10-10 20:50:29.114840,0002,CA-321,2-39-78-365,America/Los_Angeles,000000335,"[{'WhPerMile': 250, 'kWhRequested': 12.5, 'milesRequested': 50, 'minutesAvailable': 121, 'modifiedAt': 'Thu, 10 Oct 2019 20:57:56 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 10 Oct 2019 22:51:29 GMT', 'userID': 335}]"
138,5db4e520f9af8b470bd883d3,0039,2019-10-10 14:21:25-07:00,2019-10-10 17:02:09-07:00,2019-10-10 16:47:09-07:00,0.534544504181325,2_39_78_367_2019-10-10 21:21:24.539156,0002,CA-494,2-39-78-367,America/Los_Angeles,,
139,5db4e520f9af8b470bd883d4,0039,2019-10-10 16:28:33-07:00,2019-10-10 18:28:12-07:00,2019-10-10 17:15:49-07:00,2.26,2_39_91_437_2019-10-10 23:28:32.575432,0002,CA-317,2-39-91-437,America/Los_Angeles,000001920,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 60, 'modifiedAt': 'Thu, 10 Oct 2019 23:29:17 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 00:28:33 GMT', 'userID': 1920}, {'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 60, 'modifiedAt': 'Fri, 11 Oct 2019 01:27:56 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 00:28:33 GMT', 'userID': 1920}]"
140,5db4e520f9af8b470bd883d5,0039,2019-10-10 18:30:56-07:00,2019-10-10 22:17:48-07:00,2019-10-10 22:17:43-07:00,13.43,2_39_89_25_2019-10-11 01:30:56.251082,0002,CA-315,2-39-89-25,America/Los_Angeles,000001108,"[{'WhPerMile': 400, 'kWhRequested': 20.0, 'milesRequested': 50, 'minutesAvailable': 239, 'modifiedAt': 'Fri, 11 Oct 2019 01:31:16 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 05:29:56 GMT', 'userID': 1108}]"
141,5db4e520f9af8b470bd883d6,0039,2019-10-10 19:50:05-07:00,2019-10-10 22:39:13-07:00,2019-10-10 21:55:23-07:00,10.892,2_39_126_20_2019-10-11 02:50:04.891767,0002,CA-310,2-39-126-20,America/Los_Angeles,000001099,"[{'WhPerMile': 400, 'kWhRequested': 24.0, 'milesRequested': 60, 'minutesAvailable': 120, 'modifiedAt': 'Fri, 11 Oct 2019 02:54:16 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 04:50:05 GMT', 'userID': 1099}, {'WhPerMile': 400, 'kWhRequested': 24.0, 'milesRequested': 60, 'minutesAvailable': 60, 'modifiedAt': 'Fri, 11 Oct 2019 02:54:45 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 03:50:05 GMT', 'userID': 1099}]"
142,5db4e520f9af8b470bd883d7,0039,2019-10-10 20:23:30-07:00,2019-10-10 21:45:20-07:00,2019-10-10 21:45:15-07:00,8.612,2_39_139_28_2019-10-11 03:23:30.015263,0002,CA-303,2-39-139-28,America/Los_Angeles,000001263,"[{'WhPerMile': 250, 'kWhRequested': 22.5, 'milesRequested': 90, 'minutesAvailable': 115, 'modifiedAt': 'Fri, 11 Oct 2019 03:23:48 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 05:18:30 GMT', 'userID': 1263}]"
143,5db4e520f9af8b470bd883d8,0039,2019-10-10 21:07:17-07:00,2019-10-10 22:21:38-07:00,2019-10-10 21:35:54-07:00,1.358,2_39_131_30_2019-10-11 04:07:17.088781,0002,CA-305,2-39-131-30,America/Los_Angeles,000001202,"[{'WhPerMile': 400, 'kWhRequested': 15.2, 'milesRequested': 38, 'minutesAvailable': 173, 'modifiedAt': 'Fri, 11 Oct 2019 04:07:41 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 07:00:17 GMT', 'userID': 1202}]"
144,5db4e520f9af8b470bd883d9,0039,2019-10-10 22:07:08-07:00,2019-10-11 07:50:41-07:00,2019-10-11 06:26:26-07:00,8.897,2_39_139_28_2019-10-11 05:07:08.410919,0002,CA-303,2-39-139-28,America/Los_Angeles,000001152,"[{'WhPerMile': 300, 'kWhRequested': 6.0, 'milesRequested': 20, 'minutesAvailable': 59, 'modifiedAt': 'Fri, 11 Oct 2019 05:08:20 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 06:06:08 GMT', 'userID': 1152}, {'WhPerMile': 300, 'kWhRequested': 6.0, 'milesRequested': 20, 'minutesAvailable': 60, 'modifiedAt': 'Fri, 11 Oct 2019 05:09:22 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 06:07:08 GMT', 'userID': 1152}, {'WhPerMile': 300, 'kWhRequested': 9.0, 'milesRequested': 30, 'minutesAvailable': 61, 'modifiedAt': 'Fri, 11 Oct 2019 05:10:35 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 06:08:08 GMT', 'userID': 1152}]"
145,5db4e520f9af8b470bd883da,0039,2019-10-10 23:04:55-07:00,2019-10-10 23:17:12-07:00,2019-10-10 23:17:07-07:00,0.906,2_39_131_30_2019-10-11 06:04:54.718665,0002,CA-305,2-39-131-30,America/Los_Angeles,000000067,"[{'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 651, 'modifiedAt': 'Fri, 11 Oct 2019 06:10:30 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 16:55:55 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 60, 'modifiedAt': 'Fri, 11 Oct 2019 06:11:40 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 07:04:55 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 61, 'modifiedAt': 'Fri, 11 Oct 2019 06:12:43 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 07:05:55 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 652, 'modifiedAt': 'Fri, 11 Oct 2019 06:13:10 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 16:56:55 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 62, 'modifiedAt': 'Fri, 11 Oct 2019 06:13:24 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 07:06:55 GMT', 'userID': 67}]"
146,5db4e520f9af8b470bd883db,0039,2019-10-10 23:14:21-07:00,2019-10-11 04:01:34-07:00,2019-10-11 01:07:58-07:00,5.463,2_39_138_29_2019-10-11 06:14:21.089425,0002,CA-304,2-39-138-29,America/Los_Angeles,000001366,"[{'WhPerMile': 600, 'kWhRequested': 12.0, 'milesRequested': 20, 'minutesAvailable': 242, 'modifiedAt': 'Fri, 11 Oct 2019 06:16:01 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 10:16:21 GMT', 'userID': 1366}]"
147,5db4e520f9af8b470bd883dc,0039,2019-10-10 23:38:13-07:00,2019-10-11 17:43:00-07:00,2019-10-11 06:44:04-07:00,46.857,2_39_131_30_2019-10-11 06:38:13.020209,0002,CA-305,2-39-131-30,America/Los_Angeles,000000067,"[{'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 624, 'modifiedAt': 'Fri, 11 Oct 2019 06:38:40 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 17:02:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 60, 'modifiedAt': 'Fri, 11 Oct 2019 06:38:59 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 07:38:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 621, 'modifiedAt': 'Fri, 11 Oct 2019 06:39:11 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 16:59:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 60, 'modifiedAt': 'Fri, 11 Oct 2019 06:39:30 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 07:38:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 623, 'modifiedAt': 'Fri, 11 Oct 2019 06:39:56 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 17:01:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 61, 'modifiedAt': 'Fri, 11 Oct 2019 06:40:05 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 07:39:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 622, 'modifiedAt': 'Fri, 11 Oct 2019 06:40:16 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 17:00:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 61, 'modifiedAt': 'Fri, 11 Oct 2019 06:40:34 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 07:39:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 649, 'modifiedAt': 'Fri, 11 Oct 2019 06:40:44 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 17:27:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 639, 'modifiedAt': 'Fri, 11 Oct 2019 06:40:57 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 17:17:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 722, 'modifiedAt': 'Fri, 11 Oct 2019 06:41:12 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 18:40:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 565, 'modifiedAt': 'Fri, 11 Oct 2019 06:41:22 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 16:03:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 596, 'modifiedAt': 'Fri, 11 Oct 2019 06:42:05 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 16:34:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 63, 'modifiedAt': 'Fri, 11 Oct 2019 06:42:37 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 07:41:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 574, 'modifiedAt': 'Fri, 11 Oct 2019 06:42:45 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 16:12:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 639, 'modifiedAt': 'Fri, 11 Oct 2019 06:42:58 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 17:17:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 612, 'modifiedAt': 'Fri, 11 Oct 2019 06:43:11 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 16:50:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 623, 'modifiedAt': 'Fri, 11 Oct 2019 06:47:12 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 17:01:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 68, 'modifiedAt': 'Fri, 11 Oct 2019 07:02:20 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 07:46:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 743, 'modifiedAt': 'Fri, 11 Oct 2019 07:02:48 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 19:01:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 744, 'modifiedAt': 'Fri, 11 Oct 2019 07:02:59 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 19:02:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 744, 'modifiedAt': 'Fri, 11 Oct 2019 07:03:11 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 19:02:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 744, 'modifiedAt': 'Fri, 11 Oct 2019 07:03:33 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 19:02:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 745, 'modifiedAt': 'Fri, 11 Oct 2019 07:03:56 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 19:03:13 GMT', 'userID': 67}, {'WhPerMile': 250, 'kWhRequested': 60.0, 'milesRequested': 240, 'minutesAvailable': 817, 'modifiedAt': 'Fri, 11 Oct 2019 10:41:02 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 20:15:13 GMT', 'userID': 67}]"
148,5db6369ef9af8b4b0292e24f,0039,2019-10-11 07:50:14-07:00,2019-10-11 09:04:20-07:00,2019-10-11 09:05:18-07:00,0.758,2_39_79_380_2019-10-11 14:50:14.328814,0002,CA-489,2-39-79-380,America/Los_Angeles,,
149,5db6369ef9af8b4b0292e250,0039,2019-10-11 07:56:21-07:00,2019-10-11 16:27:55-07:00,2019-10-11 15:50:13-07:00,9.013,2_39_79_382_2019-10-11 14:56:21.049109,0002,CA-491,2-39-79-382,America/Los_Angeles,000001470,"[{'WhPerMile': 292, 'kWhRequested': 14.6, 'milesRequested': 50, 'minutesAvailable': 207, 'modifiedAt': 'Fri, 11 Oct 2019 14:56:26 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 18:23:21 GMT', 'userID': 1470}]"
150,5db6369ef9af8b4b0292e251,0039,2019-10-11 07:57:59-07:00,2019-10-11 15:34:19-07:00,2019-10-11 09:45:05-07:00,10.475,2_39_95_27_2019-10-11 14:57:58.527867,0002,CA-319,2-39-95-27,America/Los_Angeles,000000431,"[{'WhPerMile': 300, 'kWhRequested': 12.0, 'milesRequested': 40, 'minutesAvailable': 410, 'modifiedAt': 'Fri, 11 Oct 2019 14:58:18 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 21:47:59 GMT', 'userID': 431}]"
151,5db6369ef9af8b4b0292e252,0039,2019-10-11 08:05:01-07:00,2019-10-11 11:05:23-07:00,2019-10-11 10:02:20-07:00,6.195,2_39_89_25_2019-10-11 15:05:01.344387,0002,CA-315,2-39-89-25,America/Los_Angeles,000002170,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 60, 'modifiedAt': 'Fri, 11 Oct 2019 15:05:21 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 16:05:01 GMT', 'userID': 2170}]"
152,5db6369ef9af8b4b0292e253,0039,2019-10-11 08:05:55-07:00,2019-10-11 11:55:52-07:00,2019-10-11 11:55:42-07:00,18.177,2_39_78_364_2019-10-11 15:05:55.483111,0002,CA-495,2-39-78-364,America/Los_Angeles,000003449,"[{'WhPerMile': 400, 'kWhRequested': 40.0, 'milesRequested': 100, 'minutesAvailable': 256, 'modifiedAt': 'Fri, 11 Oct 2019 15:06:17 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 19:21:55 GMT', 'userID': 3449}]"
153,5db6369ef9af8b4b0292e254,0039,2019-10-11 08:08:03-07:00,2019-10-11 16:07:47-07:00,2019-10-11 14:30:21-07:00,26.583,2_39_78_366_2019-10-11 15:08:02.599019,0002,CA-323,2-39-78-366,America/Los_Angeles,000003853,"[{'WhPerMile': 360, 'kWhRequested': 39.6, 'milesRequested': 110, 'minutesAvailable': 480, 'modifiedAt': 'Fri, 11 Oct 2019 15:08:32 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 23:08:03 GMT', 'userID': 3853}]"
154,5db6369ef9af8b4b0292e255,0039,2019-10-11 09:02:56-07:00,2019-10-11 17:41:52-07:00,2019-10-11 10:59:54-07:00,12.017,2_39_95_444_2019-10-11 16:02:56.294393,0002,CA-497,2-39-95-444,America/Los_Angeles,000000069,"[{'WhPerMile': 400, 'kWhRequested': 40.0, 'milesRequested': 100, 'minutesAvailable': 383, 'modifiedAt': 'Fri, 11 Oct 2019 16:03:08 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 22:25:56 GMT', 'userID': 69}]"
155,5db6369ef9af8b4b0292e256,0039,2019-10-11 09:04:27-07:00,2019-10-11 10:21:26-07:00,2019-10-11 10:08:32-07:00,0.844,2_39_79_380_2019-10-11 16:04:27.126087,0002,CA-489,2-39-79-380,America/Los_Angeles,,
156,5db6369ef9af8b4b0292e257,0039,2019-10-11 09:07:49-07:00,2019-10-11 18:12:02-07:00,2019-10-11 11:28:02-07:00,9.334,2_39_79_376_2019-10-11 16:07:49.113754,0002,CA-324,2-39-79-376,America/Los_Angeles,000000714,"[{'WhPerMile': 400, 'kWhRequested': 40.0, 'milesRequested': 100, 'minutesAvailable': 419, 'modifiedAt': 'Fri, 11 Oct 2019 16:08:29 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 23:06:49 GMT', 'userID': 714}]"
157,5db6369ef9af8b4b0292e258,0039,2019-10-11 09:13:17-07:00,2019-10-11 09:44:49-07:00,2019-10-11 09:44:41-07:00,2.122,2_39_91_437_2019-10-11 16:13:17.508000,0002,CA-317,2-39-91-437,America/Los_Angeles,000002213,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 60, 'modifiedAt': 'Fri, 11 Oct 2019 16:13:23 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 17:13:17 GMT', 'userID': 2213}, {'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 52, 'modifiedAt': 'Fri, 11 Oct 2019 16:15:17 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 17:05:17 GMT', 'userID': 2213}]"
158,5db6369ef9af8b4b0292e259,0039,2019-10-11 09:15:08-07:00,2019-10-11 16:31:15-07:00,2019-10-11 10:03:51-07:00,2.9859999999999998,2_39_79_379_2019-10-11 16:15:08.088457,0002,CA-327,2-39-79-379,America/Los_Angeles,000001126,"[{'WhPerMile': 250, 'kWhRequested': 5.0, 'milesRequested': 20, 'minutesAvailable': 418, 'modifiedAt': 'Fri, 11 Oct 2019 16:16:19 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 23:13:08 GMT', 'userID': 1126}]"
159,5db6369ef9af8b4b0292e25a,0039,2019-10-11 09:21:57-07:00,2019-10-11 23:41:45-07:00,2019-10-11 10:23:45-07:00,1.9929999999999999,2_39_90_26_2019-10-11 16:21:56.988017,0002,CA-316,2-39-90-26,America/Los_Angeles,000000324,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 165, 'modifiedAt': 'Fri, 11 Oct 2019 16:22:12 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 19:06:57 GMT', 'userID': 324}]"
160,5db6369ef9af8b4b0292e25b,0039,2019-10-11 09:33:56-07:00,2019-10-11 16:17:08-07:00,2019-10-11 10:39:53-07:00,6.498,2_39_128_18_2019-10-11 16:33:55.615421,0002,CA-308,2-39-128-18,America/Los_Angeles,000001912,"[{'WhPerMile': 400, 'kWhRequested': 20.0, 'milesRequested': 50, 'minutesAvailable': 366, 'modifiedAt': 'Fri, 11 Oct 2019 16:35:29 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 11 Oct 2019 22:39:56 GMT', 'userID': 1912}]"
